Legacy_Code	Banner_Org	Deptname	deptFullName	directoryDisplayName	directorySortName	Name	Address	Address2	Mailcode	buildingCode	city	state	zip	areaCode	Phone	NetId	CIP	Comments	DeptType	Dean	Duplicate	Active	Campus	College	CollegeName	AdminRollup	School	Dept	URL	directoryDisplay	
00001	9A1-AA-AA0-391	Secr Ofc/Board of Trustees	Secretary of the Board of Trustees	Secretary of the Board of Trustees	Board of Trustees, The Secretary of	Greg Knott	352 Henry Administration	506 S. Wright	350	46	Urbana	IL	61801-3687	217	333-1920	gknott63			U	F	F	Y	9	AA	Executive Offices	A1	AA0	391	http://www.bot.uillinois.edu/	True	
00005	9A1-AA-AA0-615	President's Office	President's Office	President's Office	President's Office	Timothy L. Killeen	364 Henry Administration	506 S. Wright	346	46	Urbana	IL	61801-3649	217	333-3070	tkilleen			U	T	F	Y	9	AA	Executive Offices	A1	AA0	615	http://www.uillinois.edu/president/	True	
00031	9A2-AT-AT0-693	Ofc of Governmental Relations	Office of Governmental Relations	Office of Governmental Relations	Governmental Relations, Office of	Jennifer Creasey		225 S. College St., Suite 105			Springfield	IL	62704	217	333-1086	jcreasey			U	F	F	Y	9	AT	Vice Pres External Rel & Comm	A2	AT0	693	http://www.ogr.uillinois.edu/	True	
00044	9E1-AM-AM0-813	U of I Foundation	University of Illinois Foundation	University of Illinois Foundation	University of Illinois Foundation	James H. Moore	203 Harker Hall	1305 W. Green	386	25	Urbana	IL	61801	217	244-3673	jimmoore			U	T	F	Y	9	AM	University of Il Foundation	E1	AM0	813		True	
00060	9A1-AA-AA0-550	University Counsel	Office of University Counsel	Office of University Counsel	University Counsel, Office of	Scott E. Rice	258 Henry Administration	506 S. Wright	340	46	Urbana	IL	61801-3624	217	333-0560	serice			U	F	F	Y	9	AA	Executive Offices	A1	AA0	550	http://www.legal.uillinois.edu/	True	
00104	9E1-AD-AD0-848	Office of University Audits	Office of University Audits	Office of University Audits	Audits, Office of University	Julie Zemaitis	505 E. Green, Suite 206		498	353	Champaign	IL	61820-5723	217	333-0900	jzemaiti			U	T	F	Y	9	AD	University Audits	E1	AD0	848	http://www.audits.uillinois.edu/	True	
00110	9D1-AH-AH0-723	Univ Ofc Planning & Budgeting	University Office for Planning and Budgeting	University Office for Planning and Budgeting	Planning and Budgeting, Office of (University Administration)	Sandy Street	338 Henry Administration	506 S. Wright	360	46	Urbana	IL	61801-3639	217	333-6600	sstreet			U	F	F	Y	9	AH	Exec VP & VP Academic Affairs	D1	AH0	723	http://www.pb.uillinois.edu/	True	
00114	9Z1-AZ-AZ0-862	Planning-Intercampus Mail&Tran	Inter-Campus Mail and Transportation	Inter-Campus Mail and Transportation	Inter-Campus Mail and Transportation		338 Henry Administration	506 S. Wright	360	46	Urbana	IL	61801-3639	217	333-6600				U	F	T	Y	9	AZ	Misc Univ Admin	Z1	AZ0	862		False	
00116	9E1-AR-AR0-835	Merchant Card Services	Merchant Card Services	Merchant Card Services	Merchant Card Services	John Ealy	439 Henry Administration	506 S. Wright	369	46	Urbana	IL	61801-3620	217	265-6464	johnealy	03.0104		U	F	F	Y	9	AR	Office of Treasury Operations	E1	AR0	835	http://www.icard.uillinois.edu/	True	
00118	9E1-AL-AL0-832	Cap Prgm, Real Est, & Util Svc	Capital Programs, Real Estate, and Utility Services	Capital Programs, Real Estate, and Utility Services	Capital Programs, Real Estate, and Utility Services	Michael Wilson	208 Henry Administration	506 S. Wright	321	46	Urbana	IL	61801	217	300-7345	mwils3			U	T	F	Y	9	AL	Cap Prgm, Real Est, & Util Svc	E1	AL0	832	http://www.uocpres.uillinois.edu/	False	
